song, artist
---
fly, blind guardian
mutilated world, thomas giles
two dead names, rapture
it's just a matter of not getting caught, pendragon
crawl inside, evans blue
the other me, frost
bills, grandson
let it die, starset
famous last words, my chemical romance
ich will, rammstein
woman king, iron & wine
ride, cary brothers
this is halloween, marilyn manson
song for you, alexi murdoch
knights of cydonia, muse
somebody told me, the killers
into the trees, still corners
little house, the fray
the twyncyn / trembling willows, pure reason revolution
change, deftones
enjoy the silence, lacuna coil
beyond the stars, evans blue
a bar in amsterdam, katzenjammer
anthem of the lonely, nine lashes
unravel, autumn's grey solace
pretty when you cry, vast
psalms, antimatter
these good people, the gathering
this night, black lab
the bright ambassadors of morning, pure reason revolution
perfume has expired, the valley arena
buried alive, evans blue
reduced to nothingness, serenity
odi et amo, elizaveta
Ã  tout le monde, megadeth
---
ready to blow (dwarves mix), kmfdm
house of wolves, my chemical romance
fanatica, eisbrecher
don't say a word, sonata arctica
sunset, daylight dies
engraved within, serenity
metropolis part i, dream theater
sweet dreams, emily browning
tungsten blues, the third ending
kill the light, lacuna coil
lullaby, hypnogaja
castle, halsey
knights of cydonia, muse
send me on my way, rusted root
somebody told me, the killers
little house, the fray
i wrote in blood, still corners
psalms, antimatter
unspoken, lacuna coil
momma sed, puscifer
stockholm syndrome, muse
these good people, the gathering
within your reach, lillian axe
shy, sonata arctica
ghosting, daylight dies
blood of the rose, the dear hunter
odi et amo, elizaveta
octavarium, dream theater
perfume has expired, the valley arena
cranial implant, jupiter society
forsaken, dream theater
babylon, lillian axe
in black and white, sonata arctica
two dead names, rapture
and a slow surrender, daylight dies
sleep shake, thomas giles
keep the streets empty for me, fever ray
leider, eisbrecher
serpent charmer, iron & wine
sonne, rammstein
ruled by secrecy, muse
i wrote in blood, still corners
troublemaker, beach house
words as weapons, seether
tell me, dropping daylight
exploder falls, candy claws
shesmovedon, porcupine tree
faster, within temptation
blood // water, grandson
the other me, frost
beyond the stars, evans blue
dancer in the dark, the rasmus
a song for our father, explosions in the sky
goshen's remains, pure reason revolution
can't afford to rely on fate, driver drive faster
the world is not enough, garbage
first breath after coma, explosions in the sky
one last time, dream theater
---
sweet dreams (live), eurythmics
kidnap the sandy claws, korn
from the sky, gojira
a delicate sense of balance, pelican
bulletproof, godsmack
ten tonne skeleton, royal blood
new india, kinski
hey mrs. (glamour puss mix), i monster
siphon the bad blood, thomas giles
the incurable tragedy i, into eternity
haiti, arcade fire
failure, breaking benjamin
giving birth to imagined saviours, red sparrowes
the space for this, cynic
finally free, dream theater
into the nothing, breaking benjamin
it has begun, starset
my only sweet, dylan in the movies
somebody that i used to know, gotye
overture 1928 (live from the boston opera house), dream theater
wasted years, iron maiden
no one knows, queens of the stone age
vegas lights, panic at the disco
when you were young, the killers
i don't care, apocalyptica
livin' in a world without you, the rasmus
devotion, thomas giles
code name vivaldi, the piano guys
what i've done, linkin park
the beautiful people, marilyn manson
---
dancer in the dark, the rasmus
a song for our father, explosions in the sky
goshen's remains, pure reason revolution
can't afford to rely on fate, driver drive faster
the world is not enough, garbage
first breath after coma, explosions in the sky
one last time, dream theater
breath, breaking benjamin
daddy's little girl, quietdrive
dark star, hypnogaja
tungsten blues, the third ending
it's my life, bon jovi
nous sommes l'emeraude, alcest
home, dream theater
somebody told me, the killers
indestructible, disturbed
sweet dreams, emily browning
falling world, swallow the sun
wise and silent, thomas giles
you need me to need this, the burns unit
sense of time, crematory
dismantling devotion, daylight dies
blood of the rose, the dear hunter
beyond the stars, evans blue
it's just a matter of not getting caught, pendragon
ich tu dir weh, rammstein
eight, karma to burn
knights of cydonia, muse
somebody told me, the killers
i wrote in blood, still corners
kill the light, lacuna coil
---
the other me, frost
cranial implant, jupiter society
kill the light, lacuna coil
sweet dreams, emily browning
psalms, antimatter
you already did, russian circles
tomorrow never dies, sheryl crow
don't say a word, sonata arctica
send me on my way, rusted root
wander drug, thomas giles
in black and white, sonata arctica
song for mountains, les discrets
an heir to emptiness, daylight dies
one last time, dream theater
lullaby, hypnogaja
dancer in the dark, the rasmus
paint it black, ciara
tungsten blues, the third ending
war of change, thousand foot krutch
it has begun, starset
thank you, evans blue
blood // water, grandson
blonde on blonde, nada surf
knights of cydonia, muse
babylon, lillian axe
my selene, sonata arctica
psychopath's lair, swallow the sun
dismantling devotion, daylight dies
everything i saved you from, manic bloom
terror tone, kid architect
---
indestructible, disturbed
exploder falls, candy claws
daddy's little girl, quietdrive
falling world, swallow the sun
odi et amo, elizaveta
two dead names, rapture
little house, the fray
send me on my way, rusted root
welcome to the family, avenged sevenfold
fake it, seether
tell me, dropping daylight